Kelp Taxon,Patch,Height (m),Single or Multi-Stipe,Erect or Prostrate,Epibiont Load Potential,Comment
Ascophyllum nodosum,Single,2,Multi,Prostate,Medium ,
Carpophyllum flexuosum and Ecklonia radiata,Mixed,1,Single,Erect,Medium ,
Carpophyllum maschalocarpum ,Single,3,Multi,Erect,Medium ,
Carpophyllum maschalocarpum & Cystophora spp,Mixed,3,Multi,Erect,Medium ,
Carpophyllum spp,Single,3,Single,Erect,Medium ,
Cystophora retroflexa and C. torulosa,Mixed,1,Multi,Erect,Low,
Cystophora spp,Single,1,Multi,Erect,Low,
Ecklonia radiata,Single,1,Single,Erect,Low,
"Ecklonia radiata, Sargassum verruculosum",Mixed,1.25,Multi,Erect,Low,
Laminaria longicruris & Laminaria digitata,Mixed,4,Single,Errect/Prostrate,Low,
Laminaria saccharina,Single,3,Single,Prostate,Low,
Lessonia trabeculata,Single,1.5,Multi,Erect,Medium ,
"Macrocystic, Pterygophora californica & Laminaria farlowii",Mixed,11.66666667,Multi,Errect/Prostrate,High,
Macrocystis pyrifera,Single,30,Multi,Erect,High,
Macrocystis pyrifera& Carphophyllum maschalocarpum,Mixed,16.5,Multi,Erect,High,
Macrocystis pyrifera& Cystophora spp,Mixed,15.5,Multi,Erect,High,
Macrocystis pyriferaand Lessonia trabeculata,Mixed,15.75,Multi,Erect,High,
Macrocystis pyriferadouble density,Single,30,Multi,Erect,High,
"Macrocystis, Pterygophora, Laminaria farlowii, Eisenia arborea, Egregia menziesii, Cystoseira osmundacea",Mixed,6.416666667,Multi/Single/Single/Single/Multi/Multi,Erect,High,
"Mixed Carpophyllum spp., Ecklonia radiata",Mixed,15.5,Multi/Single,Erect,Medium ,
Nereocystis luetkeana,Single,35,Multi,Erect,Low,
Pterygophora californica & Laminaria farlowii,Mixed,2,Single,Erect,Low,
Sargassum filipendula,Single,1.5,Multi,Erect,Low,
Undaria pinnatifida,Single,0.6,Single,Erect,Low,
"Macrocystis pyrifera, Carpophyllum maschalocarpum & Cystophora spp",Mixed,16.5,Multi,Erect,High,