Series;Kelp;Patch;Height (m);Single or Multi;Erect or Prostrate;Epibiont Load Potential;Comment
1;Ascophyllum nodosum;Single;2;Multi;Prostate;Medium ;
2;Carpophyllum flexuosum and Ecklonia radiata;Mixed;1;Single;Erect;Medium ;
3;Carpophyllum spp;Single;3;Single;Erect;Medium ;
4;Cystophora retroflexa;Single;1;Multi;Erect;Low;
5;Ecklonia radiata;Single;1;Single;Erect;Low;
6;Ecklonia radiata, Sargassum verruculosum;Mixed;1.25;Single;Erect;Low;
7;Laminaria longicruris, Laminaria digitata;Mixed;4;Single;Both;Low;
8;Laminaria saccharina;Single;3;Single;Prostate;Low;
9;Laminaria spp;Single;3;Single;Prostate;Low;
10;Lessonia trabeculata;Single;2;Multi;Erect;Medium ;
11;Macrocystis pyrifera;Single;30;Multi;Erect;High;
12;Macrocystis pyrifera, Carphophyllum maschalocarpum;Mixed;16.5;Multi;Erect;High;
13;Macrocystis pyrifera, Carpophyllum maschalocarpum , Cystophora spp;Mixed;15.75;Multi;Erect;High;
14;Macrocystis pyrifera, Cystophora spp;Mixed;15.75;Multi;Erect;High;
15;Macrocystis pyrifera, Lessonia trabeculata;Mixed;15.75;Multi;Erect;High;
16;Macrocystis pyrifera, Pterygophora california, Laminaria farlowii;Mixed;22.5;Multi;Erect;High;
17;Macrocystis, Pterygophora, Lainaria farlowii, Eisenia arborea, Egrezia menziesee, Cystoceira osmundancea;Mixed;15.5;Both;Erect;Medium ;
18;Mixed Carpophyllum spp., Ecklonia radiata;Mixed;15.5;Both;Erect;Medium ;
19;Nereocystis luetkeana;Single;35;Multi;Erect;Low;
20;Pterygophora california, Laminaria farlowii;Mixed;2;Single;Erect;Low;
21;Sargassum filipendula ;Single;1.5;Multi;Erect;Low;
22;Undaria pinnatifida;Single;0.6;Single;Erect;Low;